"utterance"	"word"	"annotation"	"source"	"secondary"	"sentence"	"type"	"ar"	"bg"	"bs"	"cs"	"da"	"de"	"el"	"en"	"es"	"et"	"fi"	"fr"	"he"	"hr"	"hu"	"id"	"it"	"ja"	"nl"	"no"	"pl"	"pt"	"ro"	"ru"	"sl"	"sr"	"sv"	"tr"	"vi"	"zh"
12290	6	"NS"	"agreement"		"the interesting question is just because something , er , thinks differently from you , does that mean it 's not thinking ?"	"thing"	"شيئا"	"нещо"	"nešto"	"něco"	"noget"	"etwas"	"κάτι"	"something"	"algo"	"miski"	"jokin"	"quelque chose"	"שמשהו"	"nešto"	"valami"	"sesuatu"	"qualcosa"	"こう"	"iets"	"noe"	"coś"	"alguma coisa"	"ceva"	"что-то"	"nekaj"	"nešto"	"något"	"bir şey"	"một thứ"	"某 些"
21075	1	"NS"	"agreement"		"get something to eat . yeah ."	"thing"	"شيئاً"	"нещо"	"nešto"		"noget"	"was"	"κάτι"	"something"	"algo"	"midagi"	"jotain"	"truc"	"משהו"	"nešto"	"valamit"	"sesuatu"	"qualcosa"	"何 か"		"noe"	"coś"	"algo"			"kaj"	"nešto"	"nåt"	"şeyler"	"gì"	"﹁"
12421	17	"DN"	"autoDN"		"koba say ... apes should hate humans ... enough ! from humans koba learned hate ... but nothing else ."	"thing"	"شيء"	"нищо"	"ništa"	"nic"	"intet"	"nichts"	"τίποτα"	"nothing"	"nada"	"mitte midagi"	"ei"	"rien"	"שום דבר"	"ništa"	"semmi"	"tak"	"niente"			"ikke"	"nic"	"nada"	"nimic"	"больше"	"ničesar"	"ništa"	"inget"	"şey"		"仅此"
12709	3	"QU"	"agreement"		"do you need something to help you sleep ?"	"thing"	"شيئاً"	"нещо"	"nesto"	"něco"	"noget"	"etwas"	"τίποτα"	"something"	"algo"	"midagi"	"jotain"	"quelque chose"	"משהו"	"nešto"	"valami"	"sesuatu"	"qualcosa"	"もの"	"iets"	"noe"	"czegoś"	"alguma coisa"	"ceva"	"что-нибудь"	"kaj"	"нешто"	"nåt"	"birşeye"	"vài thứ"	"可説明"
12805	6	"DN"	"autoDN"		"that 's all . it 's nothing to do with you ."	"thing"	"شيء"	"нищо"	"nikakve"	"nemá"	"intet"	"nichts"		"nothing"	"nada"	"pistmist"	"ole mitään"	"rien"		"nikakve"	"semmi"	"kaitannya"	"niente"		"niets"	"noe"	"nic"	"nada"	"nimic"	"виновата"	"nič"	"никакве везе"	"inget"	"alakası yok"	"gì hết"	"不是 因"
13209	13	"DN"	"autoDN"		"maybe i should do this . what do you know about explosives ? nothing . okay ."	"thing"	"شيء"	"нищо"	"ništa"	"nic"	"intet"	"nichts"	"τίποτα"	"nothing"	"nada"	"midagi"	"mitään"	"rien"	".כלום-"	"ništa"	"semmit"	"tak ada"	"niente"	"な"	"niets"	"lngenting"		"nada"	"nimic"	"ничего"	"nič"	"ништа"	"ingenting"	"hiçbir şey"	"không"	"不懂"
13218	17	"SP"	"agreement"		"you can add this to the long list of hitler 's failures . he tried to take something that could never be his ."	"thing"	"شيء"	"нещо"	"nešto"	"něco"	"noget"	"etwas"	"κάτι"	"something"	"algo"	"midagi"	"jotain"		"משהו"	"nešto"	"valamit"	"sesuatu"	"una cosa"	"もの"	"wat"	"noe"	"coś"	"algo"	"ceva"	"то"	"nekaj"	"нешто"	"något"	"şeyleri"	"thứ"	"东西"
14736	3	"SP"	"agreement"		"we 're dragging something out back . i think it 's the fuel pod . max : no , no . i 'll go ."	"thing"	"شيئاً"	"нещо"	"nešto"			"irgendwas"	"κάτι"	"something"	"algo"	"midagi"	"jotain"	"un"	"משהו"	"nešto"	"valami"	"sesuatu"	"qualcosa"		"iets"	"noe"	"coś"	"alguma coisa"	"ceva"	"что-то"	"nekaj"	"nešto"	"nåt"	"bir şey"	"thứ gì đó"	"有东 西"
13239	9	"SP"	"agreement"		"her arms are n't swinging . she 's carrying something ."	"thing"	"شيئا"	"нещо"	"nešto"	"něco"	"noget"	"irgendwas"	"κάτι"	"something"	"algo"	"midagi"	"jotain"	"quelque chose"	"משהו"	"nešto"	"valamit"	"sesuatu"	"qualcosa"	"何 か"	"iets"	"noe"	"coś"	"coisa"	"ceva"	"что-то"	"nekaj"	"nešto"	"något"	"taşıyor"	"gì đó"	"有东 西"
13293	34	"SP"	"agreement"		"well , if i close my off-eye then i ca n't see what 's out there . - there 's nothing out there but the target . - negative , sir . there is something out there . punch it ."	"thing"	"شيء"	"нещо"	"nešto"	"něco"	"noget"	"etwas"	"κάτι"	"something"		"midagi"	"jotain"		"משהו"	"nešto"	"valami"	"sesuatu"	"qualcosa"	"何 か"	"iets"	"noe"	"coś"	"coisa"	"ceva"	"кое-что"	"nekaj"	"nešto"	"någonting"		"gì"	
13297	7	"DN"	"autoDN"		"what are you so afraid of ? nothing ."	"thing"	"شيء"	"нищо"	"ničega"	"ničeho"	"ingenting"	"nichts"	"τίποτα"	"nothing"	"nada"	"mitte midagi"	"mitään"	"rien"	"שום דבר"	"ničega"	"semmitől"	"tidak ada"	"niente"		"niets"	"ingenting"	"niczego"	"nada"	"nimic"	"ничего"	"–ničesar"	"-ničeg"	"inget"	"hiçbirşeyden"		"没什 么"
13239	9	"SP"	"agreement"		"her arms are n't swinging . she 's carrying something ."	"thing"	"شيئا"	"нещо"	"nešto"	"něco"	"noget"	"irgendwas"	"κάτι"	"something"	"algo"	"midagi"	"jotain"	"quelque chose"	"משהו"	"nešto"	"valamit"	"sesuatu"	"qualcosa"	"何 か"	"iets"	"noe"	"coś"	"coisa"	"ceva"	"что-то"	"nekaj"	"nešto"	"något"	"bir şey"	"gì đó"	"有东 西"
13570	16	"SP"	"agreement"		"wan na take a walk ? sure . all right . i wan na show you something ."	"thing"	"شيئا"	"нещо"	"nešto"	"něco"	"noget"	"was"	"κάτι"	"something"	"algo"	"midagi"	"jotain"	"quelque chose"	"משהו"	"nešto"	"valami"	"sesuatu"	"una cosa"		"iets"	"noe"	"coś"	"coisa"	"ceva"	"кое-что"	"nekaj"	"nešto"	"sak"	"bir şey"	"một thứ"	"东 西"
